id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
592,128,0,-1,70.14698219299316,3,455,186,135,133
1137,106,0,-1,54.919620513916016,2,98,270,337,463
319,94,0,-1,50.991241216659546,1,33,84,420,348
1107,86,0,-1,66.43631601333618,1,120,454,65,5
1503,84,0,-1,45.3733012676239,0,474,422,43,215
336,74,0,-1,50.98965287208557,1,440,458,19,334
903,69,0,-1,38.91627216339111,0,354,20,159,147
1839,67,0,-1,36.81133770942688,1,208,432,423,497
117,65,0,-1,34.9825656414032,2,127,354,285,330
1937,64,0,-1,45.81904172897339,1,460,476,231,53
