id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
166,12.28918194770813,0,-1,2.28918194770813,1,136,458,132,469
357,12.264858484268188,0,-1,2.2648584842681885,1,41,357,8,356
271,9.275544166564941,0,-1,2.2755441665649414,0,299,353,294,317
1834,8.061342716217041,0,-1,2.061342716217041,0,533,103,497,89
868,7.1987144947052,0,-1,2.1987144947052,0,458,304,450,357
1059,7.1608593463897705,0,-1,2.1608593463897705,0,551,430,520,444
93,6.298824787139893,0,-1,2.2988247871398926,0,128,576,90,556
314,6.269672155380249,0,-1,2.269672155380249,0,491,227,460,206
750,6.213623523712158,0,-1,2.213623523712158,0,238,305,296,280
759,6.212435245513916,0,-1,2.212435245513916,0,357,24,315,44
1263,6.134997129440308,0,-1,2.1349971294403076,0,175,40,116,53
1287,6.132006883621216,0,-1,2.132006883621216,0,437,414,504,433
1556,6.096736192703247,0,-1,2.096736192703247,0,188,194,121,209
1593,6.09140944480896,0,-1,2.09140944480896,0,112,189,184,185
1638,6.0857508182525635,0,-1,2.0857508182525635,0,507,43,568,25
49,5.304924488067627,0,-1,2.304924488067627,0,387,46,314,18
53,5.3037269115448,0,-1,2.3037269115448,0,227,575,201,597
203,5.284611701965332,0,-1,2.284611701965332,0,184,260,201,173
245,5.279308795928955,0,-1,2.279308795928955,0,194,69,99,58
504,5.2457334995269775,0,-1,2.2457334995269775,0,186,76,214,112
724,5.21675705909729,0,-1,2.21675705909729,0,383,358,318,332
788,5.208125591278076,0,-1,2.208125591278076,0,119,489,80,453
898,5.194330453872681,0,-1,2.1943304538726807,0,517,553,444,516
988,5.169971227645874,0,-1,2.169971227645874,0,477,390,513,358
1039,5.163160800933838,0,-1,2.163160800933838,0,523,283,496,262
1042,5.1627891063690186,0,-1,2.1627891063690186,0,557,283,514,318
1220,5.1403725147247314,0,-1,2.1403725147247314,0,513,479,424,498
1256,5.1358397006988525,0,-1,2.1358397006988525,0,114,52,41,20
1306,5.129678726196289,0,-1,2.129678726196289,0,533,34,443,59
1372,5.120850563049316,0,-1,2.1208505630493164,0,96,258,133,216
1437,5.112246751785278,0,-1,2.1122467517852783,0,494,287,477,214
1711,5.076977968215942,0,-1,2.0769779682159424,0,149,517,71,484
1748,5.071880578994751,0,-1,2.071880578994751,0,519,499,428,513
39,4.306018114089966,0,-1,2.306018114089966,0,496,161,402,110
76,4.30066442489624,0,-1,2.3006644248962402,0,79,182,160,144
224,4.282037019729614,0,-1,2.2820370197296143,0,115,51,24,86
290,4.273078203201294,0,-1,2.273078203201294,0,361,32,446,67
375,4.262235641479492,0,-1,2.262235641479492,0,450,329,372,265
419,4.256661415100098,0,-1,2.2566614151000977,0,556,122,420,123
597,4.233046770095825,0,-1,2.233046770095825,0,395,398,288,407
687,4.22126030921936,0,-1,2.2212603092193604,0,344,413,389,358
779,4.209693908691406,0,-1,2.2096939086914062,0,417,407,452,376
841,4.201704740524292,0,-1,2.201704740524292,0,388,515,435,564
1079,4.15854549407959,0,-1,2.15854549407959,0,381,99,324,8
1086,4.1576316356658936,0,-1,2.1576316356658936,0,495,332,408,268
1168,4.147238731384277,0,-1,2.1472387313842773,0,459,390,580,339
1195,4.143809795379639,0,-1,2.1438097953796387,0,214,107,266,57
1199,4.143373250961304,0,-1,2.1433732509613037,0,282,187,345,236
1228,4.13944149017334,0,-1,2.13944149017334,0,51,185,8,105
1329,4.126236915588379,0,-1,2.126236915588379,0,413,413,433,276
