id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
506,52.155157804489136,0,-1,30.155157804489136,2,359,527,206,307
680,52.13988399505615,0,-1,30.139883995056152,2,529,340,202,339
1243,50.09000778198242,0,-1,30.090007781982422,2,575,216,562,218
172,43.18449091911316,0,-1,30.18449091911316,1,402,413,6,253
603,43.146814823150635,0,-1,30.146814823150635,1,452,414,316,75
1102,43.102410554885864,0,-1,30.102410554885864,1,67,475,244,119
1527,43.06582736968994,0,-1,30.06582736968994,1,184,567,68,163
1650,43.04288911819458,0,-1,30.04288911819458,1,575,60,126,91
1753,42.65899682044983,0,-1,29.65899682044983,1,554,415,107,415
16,42.19856286048889,0,-1,30.19856286048889,1,407,415,114,407
110,42.1898307800293,0,-1,30.189830780029297,1,155,213,200,509
289,42.17394137382507,0,-1,30.173941373825073,1,367,373,449,97
291,42.17377829551697,0,-1,30.173778295516968,1,128,473,26,249
695,42.138591051101685,0,-1,30.138591051101685,1,449,424,450,125
1256,42.088987827301025,0,-1,30.088987827301025,1,93,533,331,461
1383,42.07829523086548,0,-1,30.07829523086548,1,79,449,219,176
1999,42.01261806488037,0,-1,30.01261806488037,1,526,488,189,436
1596,41.17294979095459,0,-1,29.17294979095459,1,300,188,339,430
321,41.171157121658325,0,-1,30.171157121658325,1,440,174,321,330
647,41.14319658279419,0,-1,30.14319658279419,1,41,514,217,521
717,41.136786699295044,0,-1,30.136786699295044,1,413,425,399,303
1306,41.0848171710968,0,-1,30.0848171710968,1,465,363,376,554
1521,41.066420793533325,0,-1,30.066420793533325,1,213,44,211,200
1738,40.6354033946991,0,-1,28.635403394699097,1,110,291,349,254
692,40.19640755653381,0,-1,27.196407556533813,1,305,346,464,19
591,40.148104190826416,0,-1,30.148104190826416,1,27,551,101,483
1754,40.0339093208313,0,-1,30.0339093208313,1,241,550,252,551
880,39.398990631103516,0,-1,19.398990631103516,2,356,291,356,323
475,39.243558406829834,0,-1,28.243558406829834,1,540,232,507,62
405,39.221266984939575,0,-1,27.221266984939575,1,247,556,103,297
9,39.199214935302734,0,-1,30.199214935302734,0,475,87,109,79
105,39.190274238586426,0,-1,30.190274238586426,0,426,362,36,575
567,39.15003848075867,0,-1,30.150038480758667,0,326,503,257,108
612,39.14607071876526,0,-1,30.14607071876526,0,329,58,248,50
711,39.13730525970459,0,-1,30.13730525970459,0,414,346,114,428
910,39.11896371841431,0,-1,30.118963718414307,0,531,460,132,240
934,39.116979122161865,0,-1,30.116979122161865,0,283,558,271,8
1017,39.109957456588745,0,-1,30.109957456588745,0,570,78,250,335
1036,39.10845184326172,0,-1,30.10845184326172,0,320,58,160,477
1069,39.105157136917114,0,-1,30.105157136917114,0,284,337,594,216
1142,39.098968744277954,0,-1,30.098968744277954,0,329,406,412,61
1369,39.07940363883972,0,-1,30.07940363883972,0,124,440,101,82
1465,39.07101845741272,0,-1,30.07101845741272,0,498,516,541,138
1518,39.06659150123596,0,-1,30.066591501235962,0,382,301,30,374
1581,39.06119704246521,0,-1,30.06119704246521,0,290,579,37,229
1601,39.05956816673279,0,-1,30.059568166732788,0,535,566,5,555
1714,39.03735899925232,0,-1,30.03735899925232,0,22,456,282,107
1800,38.5740807056427,0,-1,26.5740807056427,1,462,172,190,144
24,38.19790029525757,0,-1,30.19790029525757,0,520,351,180,391
31,38.1972861289978,0,-1,30.197286128997803,0,318,317,50,85
