id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
222,385003,5,597,20.11924982070923,0,355,133,388,122
545,385003,5,1670,20.104344129562378,0,342,147,421,409
1061,385003,5,828,20.078909158706665,0,242,216,453,202
1206,385003,5,984,20.071993589401245,0,95,460,170,449
1621,385003,5,78,20.028762578964233,0,268,314,342,300
1766,380634,5,470,20.021876335144043,0,119,321,104,345
1223,358716,5,191,20.07126259803772,0,154,58,140,345
669,3916,5,1109,20.098350524902344,1,135,31,466,387
1353,3570,5,282,2.7934911251068115,3,81,30,137,369
1051,3403,5,517,20.079390048980713,1,254,96,471,436
679,3240,5,1109,2.7601826190948486,1,39,111,479,190
804,3160,5,484,20.092432975769043,1,120,49,421,285
1604,3081,5,375,20.029536962509155,1,67,218,467,388
127,2926,5,467,2.7065839767456055,1,50,70,403,381
397,2926,5,1191,20.111449480056763,1,63,23,443,313
1381,2865,5,730,3.0313093662261963,1,71,150,76,452
686,2850,5,1107,20.097639560699463,2,36,97,217,173
999,2850,5,1199,20.08174443244934,1,110,54,369,421
499,2775,5,1538,20.106448888778687,1,23,76,392,442
754,2775,5,961,2.8175628185272217,1,51,63,141,478
941,2775,5,263,2.668788194656372,2,43,44,55,303
1959,2775,5,202,20.01343059539795,1,79,40,295,480
1231,2701,5,191,2.596010208129883,1,180,38,474,136
1529,2701,5,321,2.559614419937134,1,112,111,480,278
485,2628,5,1538,2.7072556018829346,1,62,40,192,404
1208,2628,5,984,2.638546943664551,2,23,96,280,111
584,2556,5,221,20.102616786956787,1,82,189,392,473
1394,2556,5,730,2.590134859085083,0,74,419,449,30
1877,2556,5,673,3.600762367248535,1,71,242,463,353
1190,2485,5,671,2.597346782684326,2,152,193,332,293
1560,2485,5,589,20.031494617462158,2,74,141,169,310
1705,2485,5,494,2.7171175479888916,2,27,138,63,164
283,2415,5,804,2.6049065589904785,1,108,40,184,393
722,2415,5,226,2.6148157119750977,1,123,91,126,477
1969,2415,5,407,2.767108201980591,1,28,55,435,352
420,2346,5,1270,20.109922885894775,3,31,43,54,171
1678,2346,5,1061,2.530333995819092,1,78,105,435,385
371,2278,5,1106,2.7919745445251465,1,90,24,89,445
746,2278,5,961,2.490990400314331,1,149,105,466,140
1298,2278,5,821,2.4449546337127686,1,206,57,477,460
1361,2278,5,493,2.5657472610473633,1,114,131,476,449
1520,2278,5,1358,20.05736517906189,1,21,206,368,447
1638,2278,5,78,20.028013944625854,1,65,58,438,364
1744,2278,5,98,20.02328872680664,2,159,25,180,60
641,2211,5,657,20.099589109420776,1,45,88,109,475
888,2211,5,258,2.671375274658203,2,44,140,76,284
950,2211,5,263,2.80856990814209,1,51,76,450,347
1569,2211,5,880,2.511096715927124,1,25,59,315,304
1825,2211,5,1459,2.5506787300109863,1,234,411,285,100
15,2145,5,18,2.5509347915649414,1,188,75,245,477
210,2145,5,514,20.11976981163025,1,117,86,399,379
361,2145,5,1106,20.113011837005615,1,78,262,428,458
366,2145,5,1106,20.112802505493164,3,65,179,169,279
834,2145,5,808,2.4379801750183105,1,110,103,403,342
1917,2145,5,26,2.449193000793457,1,97,75,153,385
648,2080,5,657,2.494381904602051,1,181,57,444,440
714,2080,5,519,20.096367597579956,1,109,77,162,401
1004,2080,5,265,2.404479742050171,2,125,55,187,256
1456,2080,5,1787,2.6296298503875732,1,77,117,141,468
1716,2080,5,494,20.02459144592285,1,134,138,464,202
1775,2080,5,470,20.021456718444824,1,101,26,294,399
1808,2080,5,1348,2.429274797439575,1,49,178,447,437
177,2016,5,483,2.5155344009399414,2,59,45,109,266
278,2016,5,801,2.507026433944702,4,175,92,211,124
311,2016,5,962,2.5060858726501465,1,91,122,429,153
1385,2016,5,730,3.173335313796997,1,53,276,417,364
1492,2016,5,863,20.05899691581726,2,154,35,218,130
241,1953,5,718,2.7768783569335938,2,59,115,159,332
1087,1953,5,1310,20.07724666595459,1,97,440,420,438
1187,1953,5,671,2.5229644775390625,2,220,97,326,300
1357,1953,5,282,20.06492590904236,1,82,245,432,456
1572,1953,5,880,2.4118223190307617,1,34,108,343,325
1800,1953,5,884,2.5272133350372314,1,100,116,220,463
1951,1953,5,202,2.398272752761841,2,139,113,248,116
972,1896,5,1058,2.9076387882232666,2,247,271,439,166
696,1891,5,1107,2.391555070877075,2,162,142,419,367
1454,1891,5,1787,2.38973331451416,1,107,183,427,463
1660,1891,5,234,20.027071714401245,3,259,42,406,74
1770,1891,5,470,20.021692514419556,2,56,50,178,180
1931,1891,5,659,20.014649391174316,1,151,96,439,419
1982,1891,5,1288,2.4465959072113037,1,39,133,193,385
1391,1880,5,730,3.1318137645721436,2,74,250,160,153
304,1830,5,962,20.115527868270874,2,87,112,363,214
1174,1830,5,941,20.073381185531616,1,236,105,358,473
1486,1830,5,863,2.4627106189727783,1,232,33,472,401
971,1772,5,1058,20.08296513557434,4,35,274,109,336
667,1770,5,1109,2.2873106002807617,2,71,250,155,357
769,1770,5,267,20.093952178955078,1,112,52,107,444
1000,1770,5,1199,2.480440855026245,1,81,184,444,415
1433,1770,5,1162,20.061589002609253,1,163,27,341,306
1898,1770,5,1177,20.016087532043457,2,286,59,361,311
610,1711,5,756,20.101450443267822,1,39,116,163,400
731,1711,5,226,2.390462875366211,1,30,259,61,458
807,1711,5,484,2.2562549114227295,1,67,283,470,472
1090,1711,5,1310,20.077120542526245,2,152,51,175,305
1300,1711,5,821,20.06739854812622,1,68,43,296,396
1539,1711,5,321,20.032384634017944,1,116,96,136,365
279,1653,5,801,20.11664342880249,1,125,36,304,410
482,1653,5,1538,20.10717535018921,1,214,180,468,456
757,1653,5,961,20.094483375549316,1,138,122,401,437
