id,score,gen,ancestral,time alive,feeding,xi,yi,xfi,yfi
13,279378,18,1171,20.14944291114807,0,175,88,77,23
17,279378,18,1171,20.149291276931763,0,255,287,155,242
31,279378,18,160,20.146222591400146,0,136,258,32,327
47,279378,18,30,20.145511627197266,0,280,110,184,63
119,279378,18,1034,20.141361713409424,0,145,325,46,441
245,279378,18,1148,20.11053466796875,0,173,156,72,193
283,279378,18,593,20.107585668563843,0,378,373,271,81
418,279378,18,456,20.100636959075928,0,175,368,72,444
494,279378,18,430,20.09662389755249,0,148,66,50,210
571,279378,18,1446,20.093186855316162,0,282,235,185,307
575,279378,18,1446,20.092740774154663,0,241,130,145,65
578,279378,18,1446,20.092236757278442,0,92,277,82,461
665,279378,18,934,20.087192058563232,0,157,105,59,178
684,279378,18,504,20.086365222930908,0,265,302,164,71
703,279378,18,1029,20.085520267486572,0,286,84,186,158
739,279378,18,1434,20.083878755569458,0,160,281,59,138
789,279378,18,1110,20.081693649291992,0,217,206,118,355
790,279378,18,1110,20.08166003227234,0,454,361,350,60
805,279378,18,99,20.08102011680603,0,228,117,126,371
812,279378,18,99,20.080738067626953,0,344,53,250,365
845,279378,18,416,20.07875370979309,0,412,434,321,95
850,279378,18,416,20.078537464141846,0,182,431,82,459
954,279378,18,1520,20.071876287460327,0,291,230,192,97
955,279378,18,1520,20.071831464767456,0,399,382,305,123
992,279378,18,1964,20.070162296295166,0,184,152,86,64
997,279378,18,1964,20.06994652748108,0,384,168,285,313
1010,279378,18,70,20.069359302520752,0,125,47,28,54
1115,279378,18,1126,20.06425666809082,0,199,94,189,397
1131,279378,18,1212,20.063564777374268,0,360,267,266,141
1150,279378,18,1411,20.06276273727417,0,277,265,180,70
1166,279378,18,1752,20.06210446357727,0,155,382,50,381
1280,279378,18,780,20.05480694770813,0,427,77,414,98
1325,279378,18,1177,20.05278778076172,0,433,366,326,314
1421,279378,18,402,20.04856038093567,0,211,263,116,286
1449,279378,18,679,20.047370195388794,0,427,264,329,391
1475,279378,18,788,20.04630208015442,0,309,215,214,150
1524,279378,18,899,20.042566299438477,0,121,68,27,73
1600,279378,18,1816,20.03839421272278,0,328,194,232,275
1659,279378,18,410,20.035748958587646,0,475,348,370,116
1702,279378,18,1160,20.033799409866333,1,458,239,459,449
1746,279378,18,1775,20.031397581100464,0,236,101,224,173
1801,279378,18,130,20.029053688049316,0,459,309,365,334
1899,279378,18,305,20.023850917816162,0,392,401,297,193
1901,279378,18,420,20.02375364303589,0,286,57,189,200
1962,279378,18,1100,20.020368337631226,0,342,309,238,197
1993,279378,18,1186,20.019003868103027,0,416,308,319,443
1022,3655,18,1191,20.068739891052246,1,217,37,225,478
821,3570,18,333,3.0508947372436523,1,123,39,120,471
373,2775,18,48,2.7669994831085205,1,29,153,34,480
1785,2556,18,1925,20.029762506484985,1,315,130,313,465
958,2145,18,1520,20.071707010269165,1,297,455,300,59
563,2080,18,1446,2.3832881450653076,1,390,259,384,465
769,1953,18,1903,20.082551956176758,1,301,372,309,44
634,1543,18,1751,20.088594913482666,1,92,180,85,478
842,1540,18,416,2.220468521118164,1,36,46,41,392
1063,1378,18,487,20.066444158554077,1,271,187,268,467
1898,1378,18,305,20.023890256881714,1,119,474,125,168
1925,1326,18,1028,20.022642374038696,1,437,27,441,434
228,1275,18,476,20.11125373840332,1,348,124,345,385
664,1275,18,934,20.087230920791626,1,241,209,245,464
863,1035,18,537,20.077967643737793,1,54,103,50,404
1401,1035,18,87,20.049412965774536,0,149,26,74,469
1598,1035,18,1816,1.8859541416168213,0,130,25,87,473
80,990,18,1666,1.973513126373291,1,472,217,469,352
517,990,18,1463,20.0956027507782,1,289,315,291,91
1495,990,18,789,1.8659586906433105,0,136,468,349,28
1734,990,18,1179,1.8554210662841797,0,466,464,171,28
385,946,18,62,1.8843908309936523,0,267,44,210,472
838,946,18,333,1.8918962478637695,0,176,460,460,30
1527,946,18,899,20.04244613647461,1,26,35,26,390
1713,946,18,1160,1.856604814529419,0,333,465,189,36
982,903,18,1964,1.936431884765625,0,31,457,218,40
1330,903,18,1177,20.052540063858032,1,301,178,302,59
154,861,18,1476,20.134409189224243,0,383,451,294,39
391,861,18,62,20.10261869430542,0,243,438,229,24
650,861,18,1916,20.087854862213135,0,273,464,215,33
1242,861,18,1113,1.8227674961090088,0,403,440,200,32
1381,861,18,1050,1.817342758178711,0,97,448,333,44
1446,861,18,679,20.0474750995636,0,293,55,272,462
1567,861,18,1810,20.040409088134766,1,412,383,413,145
1768,861,18,318,20.030471563339233,1,181,25,182,438
816,820,18,99,2.1967036724090576,1,368,427,370,22
839,820,18,333,20.079009294509888,0,124,446,33,44
985,820,18,1964,20.07044243812561,0,405,470,266,79
1090,820,18,698,20.065296411514282,1,211,464,207,181
1353,820,18,375,1.7900092601776123,1,34,286,42,115
1488,820,18,789,20.045737743377686,0,72,473,29,53
1771,820,18,318,20.03035044670105,0,313,24,228,416
18,780,18,1171,20.149253845214844,0,236,467,331,71
243,780,18,1148,1.9420759677886963,0,247,413,371,20
416,780,18,456,20.100731134414673,1,172,270,175,365
529,780,18,153,2.1578915119171143,1,167,296,161,158
1284,780,18,833,1.8983170986175537,1,315,130,312,309
1635,780,18,1516,20.036832809448242,0,396,54,425,469
1698,780,18,1122,1.831254243850708,0,118,439,365,58
1708,780,18,1160,2.46171498298645,0,383,470,425,54
1915,780,18,420,2.25341796875,0,322,435,347,34
51,741,18,30,20.145352602005005,0,156,85,116,465
140,741,18,1920,20.140095472335815,0,155,463,375,83
294,741,18,593,1.8873498439788818,0,273,458,42,78
