id,score,gen,ancestral,copy,time alive,feeding,xi,yi,xfi,yfi
1305,8778,18,1123,False,2.78890323638916,2,460,100,110,360
504,5778,18,1738,False,2.643976926803589,3,460,70,330,140
1440,4095,18,919,False,2.3272035121917725,2,480,40,170,80
758,3916,18,1780,False,20.0874502658844,1,390,40,310,450
1043,3741,18,1610,False,20.07076406478882,2,420,180,330,240
1832,3655,18,1176,False,2.3648805618286133,4,400,70,360,220
260,3321,18,1566,False,2.373290777206421,3,280,20,280,90
65,3240,18,345,False,20.166980266571045,1,290,40,170,480
1515,3240,18,487,False,2.3570730686187744,3,420,270,330,110
40,3160,18,269,False,20.168317556381226,2,480,320,190,480
1078,3081,18,1694,False,2.483131170272827,3,470,370,390,110
1939,3081,18,1862,False,2.2251391410827637,3,450,30,380,180
239,3003,18,1424,False,2.2644832134246826,1,420,80,50,480
1904,3003,18,1787,False,2.1825311183929443,1,440,30,100,80
744,2926,18,1780,False,20.0883309841156,1,440,210,160,470
1393,2926,18,28,False,20.050962924957275,2,470,40,170,160
1585,2850,18,1937,False,2.154113531112671,4,390,100,310,40
1632,2850,18,186,False,2.2841832637786865,1,460,40,30,100
1806,2775,18,574,False,2.199364423751831,1,430,70,40,270
341,2701,18,386,False,2.2549219131469727,1,430,40,100,190
391,2628,18,290,False,2.3719749450683594,2,370,80,290,330
1392,2628,18,28,False,20.05100703239441,1,310,140,190,440
1568,2628,18,1746,False,2.1782779693603516,2,400,50,330,200
1941,2628,18,501,False,2.279296875,1,480,60,20,180
60,2556,18,1677,False,2.227736234664917,1,390,140,20,480
242,2556,18,1566,False,2.219831943511963,1,400,60,90,80
435,2485,18,998,False,2.1777803897857666,1,440,70,140,470
1063,2485,18,1694,False,2.2048678398132324,1,400,70,40,390
1480,2485,18,1755,False,20.045482635498047,1,320,230,280,450
131,2415,18,1200,False,2.233485698699951,3,370,30,310,110
552,2415,18,1199,False,2.238286256790161,3,440,150,350,360
711,2415,18,524,False,20.090129613876343,1,440,30,270,350
840,2415,18,404,False,2.2817211151123047,2,470,350,180,460
901,2415,18,459,False,2.1194941997528076,1,390,60,120,480
908,2415,18,459,False,2.143202304840088,3,450,140,370,370
1503,2415,18,487,False,2.1129891872406006,1,450,70,150,150
367,2346,18,1096,False,20.120518684387207,1,430,20,360,430
620,2346,18,24,False,2.1860997676849365,3,480,340,120,390
968,2346,18,1471,False,2.1289052963256836,1,300,50,30,140
1688,2346,18,1408,False,2.103522300720215,1,440,140,70,450
